开始时间,结束时间,字幕内容,字幕颜色
0:01:27.11,0:01:28.34,when did this happen?,#FF7D40
0:01:28.63,0:01:29.80,How did both of them…?,#FF7D40
0:01:31.68,0:01:33.94,Qiuju: Sijiu must have told the gonggong  who delivered the decree,
0:01:33.94,0:01:36.55,to let this maid know a little more.,
0:01:36.86,0:01:37.77,He said that…,
0:01:38.16,0:01:40.26,His Highness the Eldest Prince might have eaten something,
0:01:40.26,0:01:41.29,that caused him to die instantly.,
0:01:41.91,0:01:44.88,The Eldest Prince’s consort sent someone to report this news to Zhaorong Li.,
0:01:45.23,0:01:46.41,Hearing this,,
0:01:46.41,0:01:47.98,Zhaorong Li barged into the Ganquan palace in a craze.,
0:01:48.15,0:01:49.58,Soaked from the rain,,
0:01:49.58,0:01:50.49,she made a scene before His Majesty,,
0:01:50.68,0:01:52.56,and ultimately charged head-first to her death.,
0:01:53.01,0:01:54.65,His Majesty was quite furious.,
0:01:54.75,0:01:57.15,He has decreed for all of the Princes and Princesses still in the capital,
0:01:57.15,0:01:58.29,to enter the palace.,
0:01:59.01,0:02:00.61,Nangong Jingnu: **If I remember correctly,**,#FF7D40
0:02:00.96,0:02:03.84,**the Eldest Prince was only eleven years older than me…**,#FF7D40
0:02:04.20,0:02:05.89,**He was in his prime.**,#FF7D40
0:02:06.79,0:02:07.35,Nangong Jingnu: Mm,,#FF7D40
0:02:07.71,0:02:08.45,I got it.,#FF7D40
0:02:08.88,0:02:10.71,Find a set of plain clothes for me at once.,#FF7D40
0:02:11.41,0:02:12.45,What about Qi Yan’s side?,#FF7D40
0:02:12.75,0:02:14.95,Qiuju: Someone has already delivered the decree to Lord Fuma’s place.,
0:02:15.16,0:02:17.69,You can meet with Lord Fuma at the palace gates, Your Highness.,
0:02:17.97,0:02:18.45,Nangong Jingnu: Mn.,#FF7D40
0:02:22.49,0:02:24.12,[Imperial palace gates],
0:02:25.64,0:02:26.46,Carriage driver: Heel!,
0:02:31.43,0:02:32.09,Qi Yan: Your Highness.,#A9A0FF
0:02:32.56,0:02:33.67,Nangong Jingnu: We’ll talk inside the sedan chair.,#FF7D40
0:02:33.67,0:02:34.13,Qi Yan: Understood.,#A9A0FF
0:02:39.28,0:02:42.05,Eunuch: Set off for the Ganquan palace!,
0:02:47.28,0:02:49.83,Nangong Jingnu: Have…you been doing well,,#FF7D40
0:02:50.22,0:02:51.16,these days?,#FF7D40
0:02:52.12,0:02:53.26,Qi Yan: Thank you for your concern, Your Highness.,#A9A0FF
0:02:53.66,0:02:54.70,This subject is the same as always.,#A9A0FF
0:02:55.65,0:02:57.29,Nangong Jingnu: You’re so plainly dressed,,#FF7D40
0:02:57.48,0:02:59.60,did the eunuch tell you something?,#FF7D40
0:03:00.50,0:03:02.43,Qi Yan: Although this subject was not told about the reason behind this summoning,,#A9A0FF
0:03:02.89,0:03:04.61,the gonggong did hint that,#A9A0FF
0:03:04.61,0:03:06.18,this subject should dress in plain colors.,#A9A0FF
0:03:09.69,0:03:10.86,Nangong Jingnu: Big royal brother has passed away,,#FF7D40
0:03:12.07,0:03:13.39,and so has Zhaorong Li.,#FF7D40
0:03:14.65,0:03:15.73,Qi Yan: The First Highness…,#A9A0FF
0:03:16.31,0:03:17.40,Is that the one?,#A9A0FF
0:03:19.08,0:03:21.01,Qi Yan: **As expected, Nangong Wang couldn’t hold himself back any longer.**,#A9A0FF
0:03:21.35,0:03:22.94,**He has attacked his own brother!**,#A9A0FF
0:03:23.49,0:03:24.00,Nangong Jingnu: Mn,,#FF7D40
0:03:24.42,0:03:25.92,I thought it was very sudden too.,#FF7D40
0:03:26.60,0:03:29.89,Big royal brother has always been a taboo topic among the royal family.,#FF7D40
0:03:30.81,0:03:32.14,When Emperor Father ascended,,#FF7D40
0:03:32.22,0:03:34.60,he granted him a residence in the capital’s domain,,#FF7D40
0:03:34.94,0:03:36.26,and he was not allowed to enter the palace without summons.,#FF7D40
0:03:37.37,0:03:39.80,I know some things about him,#FF7D40
0:03:40.17,0:03:41.87,from what my sisters tell me…,#FF7D40
0:03:42.71,0:03:43.63,I’ll tell you,,#FF7D40
0:03:43.95,0:03:45.28,just so you’ll know what you’re getting into.,#FF7D40
0:03:46.19,0:03:46.89,Qi Yan: Understood.,#A9A0FF
0:03:49.64,0:03:51.09,Nangong Jingnu: It’s a story from the previous reign.,#FF7D40
0:03:51.92,0:03:53.47,Emperor Father was still just a minister at the time,,#FF7D40
0:03:54.21,0:03:55.54,and the Eldest Prince’s mother,#FF7D40
0:03:55.81,0:03:57.88,was a servant girl of our estate.,#FF7D40
0:03:58.62,0:03:59.84,Because of some reasons,,#FF7D40
0:03:59.92,0:04:03.65,she hid her pregnancy until the Eldest Prince was born.,#FF7D40
0:04:04.86,0:04:05.78,Apparently,,#FF7D40
0:04:06.03,0:04:08.00,the kingdom-wide mourning period for the Empress Dowager of the previous reign,#FF7D40
0:04:08.00,0:04:08.99,was still ongoing at the time.,#FF7D40
0:04:09.75,0:04:11.46,Empress Mother had to use over half of her dowry,#FF7D40
0:04:11.46,0:04:12.52,on many places,#FF7D40
0:04:12.88,0:04:14.46,to keep this mess from reaching the court.,#FF7D40
0:04:15.49,0:04:17.99,Emperor Father wanted to get rid of the mother and son right away,,#FF7D40
0:04:19.14,0:04:22.49,but they were left alive because of Empress Mother’s kindness…,#FF7D40
0:04:23.24,0:04:26.10,Emperor Father disliked the two of them ever since,,#FF7D40
0:04:26.81,0:04:28.53,but even a wicked tiger would not eat its young.,#FF7D40
0:04:29.26,0:04:31.55,Emperor Father did not make things difficult for them again.,#FF7D40
0:04:32.34,0:04:34.15,The eunuch who delivered the decree earlier said that,#FF7D40
0:04:34.56,0:04:36.23,the Eldest Prince died suddenly.,#FF7D40
0:04:36.64,0:04:37.91,Zhaorong Li went to the Ganquan palace,#FF7D40
0:04:37.91,0:04:39.24,drenched from the rain and made a scene,,#FF7D40
0:04:39.69,0:04:41.40,running head-first to her death soon after.,#FF7D40
0:04:42.43,0:04:43.32,I suppose…,#FF7D40
0:04:44.04,0:04:46.41,Zhaorong Li might have thought that,#FF7D40
0:04:46.65,0:04:48.98,Emperor Father couldn’t let the two of them live any longer,,#FF7D40
0:04:49.58,0:04:50.89,but I believe in Emperor Father.,#FF7D40
0:04:50.89,0:04:52.33,He wouldn’t have done this.,#FF7D40
0:04:53.24,0:04:54.64,Things were so dangerous back then,,#FF7D40
0:04:54.64,0:04:56.33,yet he did not do anything to them,,#FF7D40
0:04:56.33,0:04:58.94,so why would he now?,#FF7D40
0:04:59.76,0:05:02.10,Qi Yan: Mn, you are right, Your Highness.,#A9A0FF
0:05:02.56,0:05:03.98,Nangong Jingnu: Emperor Father has no legitimate son.,#FF7D40
0:05:04.41,0:05:06.79,The Eldest Prince still carries the title of eldest son in the end.,#FF7D40
0:05:07.41,0:05:08.06,His death…,#FF7D40
0:05:08.25,0:05:09.78,won’t be a small matter.,#FF7D40
0:05:10.94,0:05:12.58,Now that second royal brother is away from the capital,,#FF7D40
0:05:12.83,0:05:14.16,everything is off-kilter…,#FF7D40
0:05:14.97,0:05:17.20,Just stay close to me when we enter the palace.,#FF7D40
0:05:17.51,0:05:19.24,Do not say anything more than necessary,,#FF7D40
0:05:19.82,0:05:21.61,and do not greet those royal brothers of mine.,#FF7D40
0:05:22.48,0:05:25.29,We will enter quietly,,#FF7D40
0:05:25.70,0:05:26.81,and leave quietly.,#FF7D40
0:05:27.43,0:05:28.07,Qi Yan: Yes,,#A9A0FF
0:05:28.39,0:05:29.64,this subject will be careful.,#A9A0FF
0:05:31.38,0:05:32.90,Qi Yan: **It has only been days,**,#A9A0FF
0:05:33.34,0:05:35.92,**how did she become so sensitive to political issues all of a sudden?**,#A9A0FF
0:05:37.02,0:05:40.44,**Her analysis and judgement**,#A9A0FF
0:05:40.44,0:05:42.32,**have matured quite a lot.**,#A9A0FF
0:05:43.44,0:05:44.42,**Could it be possible that…?**,#A9A0FF
0:05:47.90,0:05:50.94,**No, of course not.**,#A9A0FF
0:05:58.38,0:06:00.91,[Ganquan palace],
0:06:06.11,0:06:07.60,Sijiu: His Majesty has arrived…,
0:06:11.58,0:06:13.09,Princes and Princesses: Greetings to Emperor Father.,
0:06:13.62,0:06:14.84,Nangong Rang: All may rise.,
0:06:15.27,0:06:16.39,Princes and Princesses: Thank you, Emperor Father.,
0:06:18.19,0:06:19.35,Nangong Rang: Is everyone here?,
0:06:19.90,0:06:20.90,Sijiu: Answering Your Majesty,,
0:06:21.29,0:06:23.16,His Highness the Seventh Prince has fallen ill.,
0:06:23.49,0:06:25.88,Worrying that his illness might disturb Your Majesty,
0:06:25.88,0:06:27.25,and the other Highnesses,,
0:06:27.60,0:06:29.02,he requested to be absent.,
0:06:29.89,0:06:30.97,The Eighth Highness and Ninth Highness,
0:06:30.97,0:06:33.78,have already fallen asleep at this hour,,
0:06:34.32,0:06:35.84,and the rain is falling heavily outside.,
0:06:37.20,0:06:39.87,Should the wet nurse bring the two Highnesses here?,
0:06:41.67,0:06:43.41,Nangong Rang: Forget about old eight and old nine,,
0:06:43.84,0:06:45.16,just let them sleep.,
0:06:46.59,0:06:47.30,Where is old six?,
0:06:47.93,0:06:50.67,Sijiu: This old servant has already sent someone to deliver the decree.,
0:06:51.43,0:06:53.02,Perhaps the heavy rain,
0:06:53.35,0:06:55.88,is keeping the Sixth Highness stuck somewhere.,
0:06:56.52,0:06:57.88,Nangong Rang: That unfilial son…,
0:06:58.75,0:06:59.28,Forget it,,
0:07:00.33,0:07:03.31,I’d prefer the peace and quiet without him around.,
0:07:03.85,0:07:04.52,Sijiu: Understood.,
0:07:08.82,0:07:10.08,Nangong Rang: Earlier…,
0:07:10.57,0:07:11.93,I have received report,
0:07:15.01,0:07:16.61,of the Eldest Prince’s passing.,
0:07:19.46,0:07:20.53,Nangong Jingnu: Grief not, Emperor Father.,#FF7D40
0:07:20.88,0:07:22.13,Princes and Princesses: Grief not, Emperor Father.,
0:07:26.56,0:07:28.93,Nangong Rang: He is part of the Nangong family’s bloodline after all.,
0:07:30.33,0:07:32.26,The shock has proven to be too much,
0:07:32.26,0:07:33.91,for the Eldest Prince’s mother,,
0:07:34.64,0:07:36.42,she has followed after him as well.,
0:07:38.30,0:07:40.20,I have called all of you here today…,
0:07:41.62,0:07:43.01,to ask who among you,
0:07:43.76,0:07:45.81,is willing to take charge over this matter.,
0:07:47.49,0:07:51.79,You must handle the funeral matters of these two appropriately.,
0:07:53.45,0:07:55.62,This cannot be entrusted to outside officials.,
0:08:00.60,0:08:01.16,Nangong Da: Emperor Father,,
0:08:01.99,0:08:04.01,this son volunteers himself,
0:08:04.01,0:08:05.54,to handle royal brother and Her Lady Zhaorong’s funeral matters.,
0:08:06.51,0:08:08.67,Nangong Rang: You are honest,,
0:08:09.02,0:08:10.37,and kind at heart…,
0:08:11.58,0:08:14.45,I can rest assured with you handling the matter.,
0:08:15.33,0:08:16.20,But,,
0:08:17.13,0:08:18.45,your body…,
0:08:18.56,0:08:19.44,Nangong Da: Do not worry, Emperor Father.,
0:08:20.17,0:08:21.69,Although this son is not very mobile,,
0:08:22.00,0:08:23.14,this son is already used to it.,
0:08:23.66,0:08:25.07,Everything will be handled appropriately.,
0:08:26.97,0:08:27.77,Nangong Rang: Very well,,
0:08:28.66,0:08:29.61,then…,
0:08:31.08,0:08:32.44,Zhuohua Fuma?,
0:08:34.32,0:08:35.17,Lu Zhongxing: This son is here.,
0:08:36.07,0:08:38.76,Nangong Rang: The Fifth Prince will be in overall charge of this matter.,
0:08:39.43,0:08:40.87,You will handle external affairs,
0:08:41.21,0:08:42.68,and assist the Fifth Prince.,
0:08:42.98,0:08:44.09,Lu Zhongxing: This son will abide by the decree!,
0:08:45.48,0:08:47.09,Nangong Rang: There is one more thing…,
0:08:48.09,0:08:50.02,I have received an emergency report from the Jin province.,
0:08:51.13,0:08:53.64,They are experiencing daily torrential rain,,
0:08:54.08,0:08:56.34,but the embankment within the province is old and in disrepair.,
0:08:56.34,0:08:58.30,Many areas are in danger of breaching,,
0:08:58.86,0:09:01.21,and the common people are in a state of panic.,
0:09:02.24,0:09:03.54,The governor of the Jin province,
0:09:03.80,0:09:06.43,has asked the court to step in for the people of the Jin province,,
0:09:06.68,0:09:07.82,by preventing a flood,,
0:09:08.12,0:09:09.20,reassuring the people.,
0:09:10.99,0:09:12.47,Have a say, all of you…,
0:09:12.98,0:09:14.21,What plan do you have to offer?,
0:09:17.75,0:09:18.45,Common folks: Run!,
0:09:18.78,0:09:19.62,Run for your lives!,
0:09:19.62,0:09:20.60,The water is rising!,
0:09:20.95,0:09:21.83,Common folks: My child,,
0:09:22.20,0:09:23.32,please save him!,
0:09:24.28,0:09:25.59,Common folks: Run!,
0:09:26.47,0:09:27.45,Please save him!,
0:09:28.20,0:09:29.20,Qi Yan: Jingjia Ninth Year.,#A9A0FF
0:09:29.77,0:09:30.86,The end of autumn, and beginning of winter.,#A9A0FF
0:09:31.46,0:09:35.35,Due to days of torrential rain in many provinces in the south,,#A9A0FF
0:09:35.71,0:09:39.22,the kingdom treasury collected thirty percent less tax money,#A9A0FF
0:09:40.04,0:09:42.82, and forty percent less grain than in previous years…,#A9A0FF
0:09:43.56,0:09:45.84,Before the open wounds left by the Battle of Qing Yi on the Wei kingdom’s version of the map,#A9A0FF
0:09:45.84,0:09:47.69, could be filled and smoothed over,,#A9A0FF
0:09:48.07,0:09:51.77,floods started to spread from the Jin province.,#A9A0FF
0:09:53.21,0:09:56.51,Signs of ruin for the Wei kingdom have arrived…,#A9A0FF
0:09:57.02,0:10:01.43,Nangong Jingnu: The Eldest Prince’s passing stirred great waves in the court.,#FF7D40
0:10:02.37,0:10:06.64,All of the officials petitioned Emperor Father to crown a prince promptly.,#FF7D40
0:10:07.45,0:10:10.04,Though Commandant Lu Quan possesses the military tally,,#FF7D40
0:10:10.04,0:10:11.84,he stays far away, recuperating in the hot spring mountains.,#FF7D40
0:10:12.63,0:10:15.23,Left with no leader,,#FF7D40
0:10:15.23,0:10:17.05,the martial officials of the court have increasing conflict with the literary officials.,#FF7D40
0:10:18.20,0:10:21.19,The Battle of Qing Yi nearly drained the kingdom treasury of all of its resources.,#FF7D40
0:10:22.46,0:10:24.10,In order to stabilize the north,,#FF7D40
0:10:24.52,0:10:26.96,Emperor Father sealed Nagsi Jiya as Consort Ya.,#FF7D40
0:10:27.80,0:10:29.95,Emperor Father appointed san-ge as the imperial envoy,#FF7D40
0:10:29.95,0:10:31.45,who will combat flooding in the south…,#FF7D40
0:10:32.40,0:10:33.46,Before they were to depart,,#FF7D40
0:10:33.89,0:10:37.06,I recommended Qi Yan to Emperor Father.,#FF7D40
0:10:39.33,0:10:41.57,Sijiu: By the will of Heaven,,
0:10:41.75,0:10:43.26,and the Emperor’s command,,
0:10:43.28,0:10:44.24,heed:,
0:10:44.96,0:10:46.62,As of today,,
0:10:46.62,0:10:51.63,the old law stating that Fumas may not participate in politics is no longer in effect.,
0:10:51.88,0:10:53.59,The Zhuohua Princess’ Fuma,,
0:10:53.59,0:10:54.96,Lu Zhongxing,,
0:10:54.96,0:10:56.67,well versed in both letters and arms,,
0:10:56.67,0:10:58.41,loyal and brave,,
0:10:58.41,0:11:01.50,shall receive the title of third-tier Imperial Guard.,
0:11:02.01,0:11:03.83,The Zhenzhen Princess’ Fuma,,
0:11:03.83,0:11:05.07,Qi Yan,,
0:11:05.07,0:11:06.57,brimming with talent,,
0:11:06.57,0:11:08.32,respectful and courteous,,
0:11:08.32,0:11:11.71,shall receive the title of third-tier Vice Minister of Works.,
0:11:11.99,0:11:13.70,That is all.,
0:11:25.84,0:11:27.34,[Inside a restaurant],
0:11:36.27,0:11:36.82,Qi Yan: Come in.,#A9A0FF
0:11:38.48,0:11:39.25,Gongyang Huai: Tiezhu!,
0:11:39.49,0:11:40.52,This really is wonderful.,
0:11:40.95,0:11:42.12,When I heard the news yesterday,,
0:11:42.39,0:11:43.81,I was so happy I couldn’t sleep at night.,
0:11:44.27,0:11:46.18,Even my da-ge said that he wants to invite you to a banquet when he gets the chance.,
0:11:47.69,0:11:48.83,Qi Yan: You can talk sitting down, Baishi.,#A9A0FF
0:11:48.95,0:11:49.31,Here,,#A9A0FF
0:11:49.74,0:11:51.37,I ordered your favorite tea.,#A9A0FF
0:11:51.57,0:11:52.29,Try it.,#A9A0FF
0:11:58.07,0:11:58.59,Qi Yan: Please.,#A9A0FF
0:11:59.18,0:11:59.75,Gongyang Huai: Many thanks.,
0:12:04.43,0:12:05.23,Gongyang Huai: Tiezhu, oh, Tiezhu…,
0:12:05.73,0:12:08.22,You finally get to see the clouds part and the moon shine.,
0:12:09.05,0:12:12.01,I thought your career was over when you became Fuma,,
0:12:12.51,0:12:14.80,but I didn’t think that His Majesty would choose to abolish the old law,
0:12:14.80,0:12:16.67,preventing inner subjects from participating in politics.,
0:12:17.38,0:12:18.78,From now on, we are officials in the same court,,
0:12:19.06,0:12:21.69,and it’ll be much easier for us to meet up again!,
0:12:23.23,0:12:26.09,Qi Yan: My role as the Vice Minister of Works is only a temporary one.,#A9A0FF
0:12:27.20,0:12:29.73,The flooding in the south impacted the Jin province the most.,#A9A0FF
0:12:30.07,0:12:31.37,Many areas in the embankment were damaged.,#A9A0FF
0:12:32.07,0:12:33.70,A supervisor with a group of construction workers from the Ministry of Works,#A9A0FF
0:12:33.70,0:12:35.65,is needed to repair the embankment.,#A9A0FF
0:12:36.73,0:12:39.07,The original Vice Minister of Works is too old,#A9A0FF
0:12:39.36,0:12:40.30,for long-distance travel.,#A9A0FF
0:12:41.54,0:12:42.85,Since I was born in the Jin province,,#A9A0FF
0:12:43.15,0:12:45.49,and my experiences of the epidemic in Jingjia First Year,#A9A0FF
0:12:45.91,0:12:47.12,should prepare me for the situation,,#A9A0FF
0:12:48.09,0:12:51.35,Emperor Father allowed me to temporarily take over the position,#A9A0FF
0:12:51.75,0:12:54.01,and assist the Third Highness in dealing with the floods.,#A9A0FF
0:12:55.07,0:12:55.82,Otherwise,,#A9A0FF
0:12:56.19,0:12:57.40,given my qualifications…,#A9A0FF
0:12:57.93,0:12:59.20,Even if I did enter the court,,#A9A0FF
0:12:59.49,0:13:01.03,I would have to start work in the Hanlin Academy.,#A9A0FF
0:13:02.27,0:13:03.85,I wouldn’t say it’ll take three years,,#A9A0FF
0:13:04.32,0:13:05.83,but a year and a half is most certainly needed.,#A9A0FF
0:13:06.03,0:13:06.61,Gongyang Huai: Ai,,
0:13:07.15,0:13:08.00,you’d be wrong to say that.,
0:13:09.46,0:13:10.24,Qi Yan: How so?,#A9A0FF
0:13:11.23,0:13:12.10,Gongyang Huai: In the past few years,,
0:13:12.40,0:13:13.14,Xing Jingfu,,
0:13:13.14,0:13:13.92,Sir Xing,,
0:13:14.01,0:13:15.85,has been strongly engaging young talents.,
0:13:16.15,0:13:19.21,It’s not like there aren’t outstanding people around our age,,
0:13:19.64,0:13:22.68,so why were you appointed for this position?,
0:13:24.65,0:13:25.36,Qi Yan: That…,#A9A0FF
0:13:26.40,0:13:28.13,did not occur to me.,#A9A0FF
0:13:29.01,0:13:30.47,Gongyang Huai: You are about to become an official in the court,,
0:13:30.73,0:13:32.10,so there are some things you must know.,
0:13:33.21,0:13:34.70,Back in the time where I just entered the court,,
0:13:35.01,0:13:36.00,the crowning of a prince,
0:13:36.30,0:13:39.57,was already a frequently brought up political issue.,
0:13:40.68,0:13:42.04,His Majesty has nine sons,,
0:13:42.04,0:13:42.89,all born from consorts,,
0:13:43.33,0:13:44.86,and since the eldest son did not have a good background,,
0:13:45.18,0:13:47.48,the position of Crown Prince remained undecided.,
0:13:48.17,0:13:49.33,But things have changed.,
0:13:49.86,0:13:51.10,The Eldest Prince has passed way,,
0:13:51.28,0:13:53.30,so the Second Prince is the next oldest son…,
0:13:54.05,0:13:55.71,The Second Prince is of noble birth,,
0:13:56.05,0:13:57.31,his mother’s family has strong influence,,
0:13:57.82,0:13:58.71,and the Fourth Prince,,
0:13:58.71,0:13:59.62,sharing the same mother,,
0:13:59.62,0:14:00.09,supports him.,
0:14:00.85,0:14:02.82,Although he has made a few careless mistakes the last time he governed the kingdom,,
0:14:03.29,0:14:04.34,I heard that,
0:14:04.34,0:14:06.51,he has gained excellent political achievements in the northern nine provinces.,
0:14:07.66,0:14:08.27,Ai,,
0:14:08.80,0:14:11.45,now the court is split into three parties…,
0:14:11.78,0:14:12.52,the Second and Fourth party,,
0:14:12.79,0:14:13.34,the Third party,,
0:14:13.57,0:14:14.07,and…,
0:14:14.27,0:14:15.05,the neutral party.,
0:14:15.68,0:14:17.45,Qi Yan: The matter of inheritance concerns the future of the kingdom.,#A9A0FF
0:14:17.77,0:14:19.50,Loyalty to the monarch is the duty of a subject.,#A9A0FF
0:14:20.27,0:14:23.36,What does this have to do with my appointment as Vice Minister of Works?,#A9A0FF
0:14:24.24,0:14:25.70,Gongyang Huai: To say something disrespectful,,
0:14:26.09,0:14:27.74,if the Zhenzhen Highness was a man,,
0:14:27.92,0:14:30.75,would His Majesty have to worry so much over the choice of heir?,
0:14:31.50,0:14:33.82,Just ask any sons of nobles in the capital city:,
0:14:34.29,0:14:36.99,how many exceptions and favors have the Zhenzhen Highness received over the years?,
0:14:37.82,0:14:40.28,His Majesty cares so dearly for his only legitimate bloodline,,
0:14:40.48,0:14:42.99,would he not plan ahead for the Zhenzhen Highness’ future?,
0:14:43.99,0:14:44.65,Who do you think,
0:14:44.92,0:14:47.78,His Majesty abolished the old law preventing inner subjects from participating in politics for?,
0:14:48.25,0:14:50.94,Putting the name of that Lu Zhongxing ahead of you,
0:14:51.31,0:14:54.16,is just a way to keep the court officials from complaining.,
0:14:54.70,0:14:56.55,The person who His Majesty truly wanted to promote…,
0:14:56.55,0:14:57.17,is you!,
0:14:57.38,0:14:59.06,The Zhenzhen Princess’ Fuma!,
0:15:00.70,0:15:02.61,His Majesty has assigned you to assist the Third Highness this time…,
0:15:02.97,0:15:04.34,You should seize this opportunity well.,
0:15:06.72,0:15:08.07,Qi Yan: …Thank you for your advice,  Baishi.,#A9A0FF
0:15:09.62,0:15:11.17,Gongyang Huai: Is such words necessary between us?,
0:15:11.77,0:15:13.68,We are both top-scorers in the same exam,,
0:15:14.10,0:15:16.21,and the Gongyang estate is indebted to you for saving us.,
0:15:16.65,0:15:19.43,Of course I will tell you anything I know, sparing no detail.,
0:15:20.08,0:15:20.52,Ai,,
0:15:20.52,0:15:21.43,it’s just a shame that…,
0:15:22.15,0:15:23.92,my career is over now.,
0:15:28.88,0:15:29.34,Ai,,
0:15:30.02,0:15:32.18,do you still remember that big-shot of the Yun province,,
0:15:32.18,0:15:33.05,Ding Fengshan?,
0:15:34.51,0:15:35.23,Qi Yan: The…,#A9A0FF
0:15:35.75,0:15:37.10,son of General Ding Yi?,#A9A0FF
0:15:37.33,0:15:37.73,Gongyang Huai: That’s right.,
0:15:38.55,0:15:39.83,He has military merit now.,
0:15:40.19,0:15:42.89,And with the help of his cousins Lu Boyan and Lu Zhongxing in the court,,
0:15:43.17,0:15:44.83,he’s managed to get completely ahead of me,,
0:15:45.72,0:15:46.29,argh!,
0:15:46.80,0:15:48.68,After all the years I spent in hard study,,
0:15:49.04,0:15:51.44,I still have to bow to the crude and ignorant in the end!,
0:15:54.11,0:15:56.12,Qi Yan: Here are banknotes for ten thousand taels of silver from the Tongyuan bank,,#A9A0FF
0:15:56.89,0:15:57.58,use it as you need.,#A9A0FF
0:15:58.41,0:15:59.03,Gongyang Huai: Tiezhu,,
0:15:59.35,0:15:59.71,this is…,
0:15:59.95,0:16:01.07,This is a lot of banknotes,,
0:16:01.28,0:16:02.41,where did you get all of this? I…,
0:16:02.49,0:16:03.92,Qi Yan: The Zhenzhen Highness is generous with rewards;,#A9A0FF
0:16:04.46,0:16:06.25,I can still manage to bring out ten thousand taels.,#A9A0FF
0:16:07.08,0:16:08.53,Please don’t refuse this, Baishi.,#A9A0FF
0:16:09.63,0:16:11.90,The Gongyang estate is now in decline.,#A9A0FF
0:16:12.33,0:16:14.99,Its return to glory rests solely on your shoulders.,#A9A0FF
0:16:16.11,0:16:18.21,I’m afraid your current salary will hardly be enough,#A9A0FF
0:16:18.84,0:16:21.62, to support your everyday meetings and dealings with others.,#A9A0FF
0:16:22.71,0:16:24.76,The next great examination is coming soon,,#A9A0FF
0:16:25.27,0:16:26.61,and once new graduates enter the court,,#A9A0FF
0:16:26.84,0:16:28.71,things will only get harder for you.,#A9A0FF
0:16:29.87,0:16:32.24,We are graduates of Sir Xing Jingfu after all.,#A9A0FF
0:16:32.84,0:16:35.53,Use these banknotes to pave a road for yourself.,#A9A0FF
0:16:36.65,0:16:39.20,You have to be qualified to attend court every day,,#A9A0FF
0:16:39.93,0:16:42.71,how will His Majesty promote you,#A9A0FF
0:16:43.09,0:16:44.46,if he can’t even see you on a regular basis?,#A9A0FF
0:16:46.23,0:16:47.09,Gongyang Huai: I, Gongyang Huai,,
0:16:47.48,0:16:49.01,will not forget Tiezhu’s kindness for as long as I live.,
0:16:49.26,0:16:49.55,Oh,,
0:16:49.92,0:16:51.09,I consider these banknotes borrowed money,,
0:16:51.25,0:16:51.98,I will definitely pay you back.,
0:16:52.95,0:16:53.93,Qi Yan: There is no need to be courteous, Baishi.,#A9A0FF
0:16:54.85,0:16:56.48,If you can fulfil your ambitions,,#A9A0FF
0:16:56.76,0:16:57.53,I will be happy too.,#A9A0FF
0:16:58.86,0:17:00.32,Gongyang Huai: When are you departing to the Jin province?,
